NSC,mean_log_IC50,CELL_NAME
92859,-4.34046666666667,HCC-2998
92859,-4.59504,HCT-116
92859,-4.78178,HCT-15
92859,-4.66912,HL-60(TB)
92859,-4.6008,HOP-62
92859,-4.57606,HOP-92
92859,-4.6956,HS 578T
92859,-4.74948,HT29
92859,-4.8781,IGROV1
92859,-4.777925,K-562
92859,-4.5223,KM12
92859,-4.8936,LOX IMVI
92859,-4.671575,M14
92859,-4.80394,MALME-3M
92859,-4.86988,MCF7
92859,-4.5995,MDA-MB-231/ATCC
92859,-4.57062,MDA-MB-435
92859,-4.629725,MDA-N
92859,-4.67458,MOLT-4
92859,-4.29934,NCI-H226
92859,-4.59122,NCI-H23
92859,-4.37332,NCI-H322M
92859,-4.59986,NCI-H460
92859,-4.89282,NCI-H522
92859,-4.56944,NCI/ADR-RES
92859,-4.8035,OVCAR-3
92859,-4.416275,OVCAR-4
92859,-4.5152,OVCAR-5
92859,-4.7881,OVCAR-8
92859,-4.61456,PC-3
92859,-5.00075,RPMI-8226
92859,-4.382525,RXF 393
92859,-4.695625,SF-268
92859,-4.46344,SF-295
92859,-4.7271,SF-539
92859,-4.63442,SK-MEL-2
92859,-4.74605,SK-MEL-28
92859,-4.86684,SK-MEL-5
92859,-4.40648,SK-OV-3
92859,-4.62145,SN12C
92859,-4.65964,SNB-19
92859,-4.54905,SNB-75
92859,-4.98072,SR
92859,-4.77414,SW-620
92859,-4,T-47D
92859,-4.36355,TK-10
92859,-4.96316,U251
92859,-4.49462,UACC-257
92859,-4.758,UACC-62
92859,-4.65432,UO-31
93819,-2.8495,786-0
93819,-2.9969,A498
93819,-2.9271,A549/ATCC
93819,-2.8495,ACHN
93819,-2.8495,BT-549
93819,-2.89755,CAKI-1
93819,-2.8495,CCRF-CEM
93819,-3.02205,COLO 205
93819,-2.93325,DU-145
93819,-2.8495,EKVX
93819,-2.8495,HCC-2998
93819,-2.9563,HCT-116
93819,-2.8495,HCT-15
93819,-2.8495,HL-60(TB)
93819,-2.8495,HOP-62
93819,-2.8495,HOP-92
93819,-1.699,HS 578T
93819,-2.97785,HT29
93819,-2.9532,IGROV1
93819,-2.9838,K-562
93819,-2.8495,KM12
93819,-2.9946,LOX IMVI
93819,-2.8495,M14
93819,-2.8495,MALME-3M
93819,-2.8495,MCF7
93819,-2.8495,MDA-MB-231/ATCC
93819,-2.8495,MDA-MB-435
93819,-4,MDA-N
93819,-2.8495,MOLT-4
93819,-2.8495,NCI-H226
93819,-2.8495,NCI-H23
93819,-2.8495,NCI-H322M
93819,-3.01575,NCI-H460
93819,-2.8495,NCI-H522
93819,-2.8495,NCI/ADR-RES
93819,-2.8495,OVCAR-3
93819,-2.8495,OVCAR-4
93819,-2.8495,OVCAR-5
93819,-2.97825,OVCAR-8
93819,-2.8495,PC-3
93819,-2.941,RPMI-8226
93819,-2.8495,RXF 393
93819,-2.8495,SF-268
93819,-2.85215,SF-295
93819,-2.8495,SF-539
93819,-2.8495,SK-MEL-2
93819,-4,SK-MEL-28
93819,-2.2132,SK-MEL-5
93819,-2.8495,SK-OV-3
93819,-2.8495,SN12C
93819,-2.8495,SNB-19
93819,-2.8495,SNB-75
93819,-2.8839,SR
93819,-2.94535,SW-620
93819,-2.8495,T-47D
93819,-2.8495,TK-10
93819,-2.8495,U251
93819,-2.8495,UACC-257
93819,-2.8767,UACC-62
93819,-2.8719,UO-31
94600,-7.59335,786-0
94600,-6.4883,A498
94600,-7.11154285714286,A549/ATCC
94600,-7.7295,ACHN
94600,-5.9873,BT-549
94600,-7.1484,CAKI-1
94600,-8,CCRF-CEM
94600,-6.06163333333333,COLO 205
94600,-8,DU-145
94600,-5.65506666666667,EKVX
94600,-6.03906666666667,HCC-2998
94600,-7.46471428571429,HCT-116
94600,-6.54558333333333,HCT-15
94600,-7.70603333333333,HL-60(TB)
94600,-6.39396666666667,HOP-62
94600,-4.27068,HOP-92
94600,-4,HS 578T
94600,-7.02536,HT29
94600,-6.14751666666667,IGROV1
94600,-6.82704285714286,K-562
94600,-6.48752857142857,KM12
94600,-7.37708333333333,LOX IMVI
94600,-7.47765,M14
94600,-5.53287142857143,MALME-3M
94600,-7.7066,MCF7
94600,-5.1898,MDA-MB-231/ATCC
94600,-6.7051,MDA-MB-435
94600,-6.5432,MDA-N
94600,-8,MOLT-4
94600,-5.67172,NCI-H226
94600,-7.27216666666667,NCI-H23
94600,-6.09562,NCI-H322M
94600,-7.73068333333333,NCI-H460
94600,-6.2824,NCI-H522
94600,-7.26885,NCI/ADR-RES
94600,-6.2883,OVCAR-3
94600,-6.12992857142857,OVCAR-4
94600,-6.07408571428571,OVCAR-5
94600,-7.06523333333333,OVCAR-8
